release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag
2013,9,7.1,PG-13,Man of Steel,225000000,143,Warner Bros.,668045518,291045518,Action,Adventure,Sci-Fi,0
2013,10,6.9,PG-13,Thor: The Dark World,170000000,112,Walt Disney ,644783140,206362140,Action,Adventure,Fantasy,1
2012,1,8,PG-13,The Avengers,220000000,143,Walt Disney ,1518812988,623357910,Action,Adventure,Sci-Fi,1
2012,2,7.7,PG-13,Skyfall,200000000,143,Sony Pictures,1108561013,304360277,Action,Adventure,Thriller,0
2012,3,8.4,PG-13,The Dark Knight Rises,250000000,164,Warner Bros.,1081041287,448139099,Action,Adventure,Thriller,0
2012,4,7.8,PG-13,The Hobbit: An Unexpected Journey,180000000,169,Warner Bros.,1017003568,303003568,Adventure,Family,Fantasy,0
2012,5,6.6,PG,Ice Age: Continental Drift,95000000,88,Twentieth Century Fox,877244782,161321843,Animation,Adventure,Comedy,0
2012,6,5.5,PG-13,The Twilight Saga: Breaking Dawn - Part 2,120000000,115,Lionsgate,829746820,292324737,Adventure,Drama,Fantasy,0
2012,7,6.9,PG-13,The Amazing Spider-Man,230000000,136,Sony Pictures,757930663,262030663,Action,Sci-Fi,,1
2012,8,6.8,PG,Madagascar 3: Europe's Most Wanted,145000000,93,DreamWorks,746921274,216391482,Animation,Adventure,Comedy,0
2012,9,7.2,PG-13,The Hunger Games,78000000,142,Lionsgate,694394724,408010692,Action,Adventure,Sci-Fi,0
2012,10,6.8,PG-13,Men in Black 3,225000000,106,Sony Pictures,624026776,179020854,Action,Adventure,Comedy,0
2011,1,8.1,PG-13,Harry Potter and the Deathly Hallows: Part 2,125000000,130,Warner Bros.,1341511219,381011219,Adventure,Drama,Fantasy,0
2011,2,6.2,PG-13,Transformers: Dark of the Moon,195000000,154,Paramount Pictures,1123794079,352390543,Action,Adventure,Sci-Fi,0
2011,3,6.6,PG-13,Pirates of the Caribbean: On Stranger Tides,250000000,136,Walt Disney ,1045713802,241071802,Action,Adventure,Fantasy,0
2011,4,4.9,PG-13,The Twilight Saga: Breaking Dawn - Part 1,110000000,117,Summit Entertainment,712205856,281287133,Action,Adventure,Drama,0
2011,5,7.4,PG-13,Mission: Impossible - Ghost Protocol,145000000,132,Paramount Pictures,694713380,209397903,Action,Adventure,Thriller,0
2011,6,7.2,PG,Kung Fu Panda 2,150000000,90,DreamWorks,665692281,165249063,Animation,Action,Adventure,0
