release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag
2011,7,7.3,PG-13,Fast Five,125000000,130,Universal Pictures,626137675,209837675,Action,Adventure,Thriller,0
2011,8,6.4,R,The Hangover Part II,80000000,102,Warner Bros.,586764305,254464305,Comedy,,,0
2011,9,5.4,PG,The Smurfs,110000000,103,Sony Pictures,563749323,142614158,Adventure,Comedy,Family,0
2011,10,6.1,G,Cars 2,200000000,106,Walt Disney ,559852396,191452396,Animation,Adventure,Comedy,0
2010,1,8.3,G,Toy Story 3,200000000,103,Walt Disney ,1066969703,415004880,Animation,Adventure,Comedy,0
2010,2,6.4,PG,Alice in Wonderland,200000000,108,Walt Disney ,1025467110,334191110,Adventure,Family,Fantasy,0
2010,3,7.7,PG-13,Harry Potter and the Deathly Hallows: Part 1,125000000,146,Warner Bros.,976536918,295983305,Adventure,Family,Fantasy,0
2010,4,8.8,PG-13,Inception,160000000,148,Warner Bros.,828322032,292576195,Action,Adventure,Sci-Fi,0
2010,5,6.3,PG,Shrek Forever After,165000000,93,DreamWorks,752600867,238736787,Animation,Adventure,Comedy,0
2010,6,5,PG-13,The Twilight Saga: Eclipse,68000000,124,Summit Entertainment,698491347,300531751,Action,Drama,Fantasy,0
2010,7,7,PG-13,Iron Man 2,200000000,124,Paramount Pictures,623933331,312433331,Action,Adventure,Sci-Fi,1
2010,8,7.7,PG,Tangled,260000000,100,Walt Disney ,593171580,200821936,Animation,Adventure,Comedy,0
2010,9,7.6,PG,Despicable Me,69000000,95,Universal Pictures,543113985,251513985,Animation,Comedy,Family,0
2010,10,8.1,PG,How to Train Your Dragon,165000000,98,DreamWorks,494878759,217581231,Animation,Action,Adventure,0
2009,1,7.8,PG-13,Avatar,237000000,162,Twentieth Century Fox,2744336793,749766139,Action,Adventure,Fantasy,0
2009,2,7.6,PG,Harry Potter and the Half-Blood Prince,250000000,153,Warner Bros.,933959197,301959197,Action,Adventure,Family,0
2009,3,6.9,PG,Ice Age: Dawn of the Dinosaurs,90000000,94,Twentieth Century Fox,886686817,196573705,Animation,Adventure,Comedy,0
2009,4,6,PG-13,Transformers: Revenge of the Fallen,200000000,150,DreamWorks,836303693,402111870,Action,Adventure,Sci-Fi,0
2009,5,5.8,PG-13,2012,200000000,158,Sony Pictures,769679473,166112167,Action,Adventure,Sci-Fi,0
2009,6,8.2,PG,Up,175000000,96,Walt Disney ,735099082,293004164,Animation,Adventure,Comedy,0
2009,7,4.7,PG-13,The Twilight Saga: New Moon,50000000,130,Summit Entertainment,709827462,296623634,Adventure,Drama,Fantasy,0
2009,8,7.6,PG-13,Sherlock Holmes,90000000,128,Warner Bros.,524028679,209028679,Action,Adventure,Crime,0
2009,9,6.7,PG-13,Angels & Demons,150000000,138,Sony Pictures,485930816,133375846,Action,Mystery,Thriller,0
2009,10,7.7,R,The Hangover ,35000000,100,Warner Bros.,468812793,277322503,Comedy,,,0
2008,1,9,PG-13,The Dark Knight,185000000,152,Warner Bros.,1003045358,533345358,Action,Crime,Drama,0
2008,2,6.1,PG-13,Indiana Jones and the Kingdom of the Crystal Skull,185000000,122,Paramount Pictures,790653942,317101119,Action,Adventure,,0
2008,3,7.5,PG,Kung Fu Panda,130000000,92,DreamWorks,631744560,215434591,Animation,Action,Adventure,0
2008,4,6.4,PG-13,Hancock,150000000,92,Sony Pictures,629443428,227946274,Action,Fantasy,,0
2008,5,6.4,PG-13,Mamma Mia!,52000000,108,Universal Pictures,609841637,144130063,Comedy,Musical,Romance,0
